DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances);classement prorogé
25/04/2024;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE SOISSONS;Avenue du Mail;02200;SOISSONS;https://www.soissons.fr/camping-municipal-de-soissons/;-;327;-;109;-;-;non
19/10/2021;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE SOULLANS;Rue Saint Christophe;85300;SOULLANS;https://www.campinglemoulinneuf.com/;-;300;-;80;-;-;non
27/06/2024;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE SÉZANNE;route de Launat;51120;SÉZANNE;https://www.ville-sezanne.fr/decouvrir-sezanne/venir-et-stationner-a-sezanne/camping/;-;219;-;73;-;-;non
16/07/2024;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE TOUL AR STER;Rue de Toul Ar Ster;29760;PENMARCH;https://www.camping-penmarch.fr/;-;480;-;160;-;-;non
22/12/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE TOUNEL;Rue Georges Brassens;34310;CAPESTANG;https://camping-de-tounel.business.site/;-;75;-;25;-;-;non
31/08/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE VAUCHIRON;Chemin de La Plage;86600;LUSIGNAN;https://lusignan.fr/attractive/tourisme/vauchiron/;-;264;-;88;-;-;non
17/11/2021;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DE VEULETTES SUR MER;8 rue de Greenock;76450;VEULETTES-SUR-MER;https://campingmunicipal-v.wixsite.com/camping-veulettes;-;333;-;111;-;-;non
24/10/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DE VIBRAYE;rue de Wagenfeld;72320;VIBRAYE;https://johannamairie.wixsite.com/camping-de-vibraye;-;90;-;30;-;-;non
29/07/2024;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DE VIVONNE;3 chemin de praire;86370;VIVONNE;www.vivonne.fr;-;210;-;70;-;-;non
22/05/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DES BORDS DE L'AURE;Boulevard Eindhoven;14400;BAYEUX;http://www.camping-bayeux.fr/fr/accueil-sp1.php;-;258;-;86;-;-;non
